Indicator,Suffolk,Dorset,Herefordshire,Kent,Norfolk,Somerset
All age groups (2025),0,0,0,0,0,0
All age groups (2026),0.75,0.71,0.12,0.89,0.12,0.25
All age groups (2027),0.72,0.7,0.12,0.9,0.49,0.12
All age groups (2028),0.66,0.66,0,0.93,0.12,0.86
All age groups (2029),0.71,0.59,0.25,0.81,0.36,0.24
All age groups (2030),0.69,0.69,0.37,0.82,0.12,0.24
All age groups (2035),3.38,2.75,0.37,3.6,1.33,1.45
All age groups (2040),2.59,2.19,0.37,2.84,0.72,0.71
All age groups (2045),2.44,1.72,0.12,2.53,0.59,0.59
